seme,insieme,RMSE,SS,configurazione
4,test_ood,0.00803674478083849,0.001458287239074707,M0 + discharge_time_rel
5,train,0.009210696443915367,0.13300037384033203,M0 + discharge_time_rel
5,validation,0.006241313181817532,0.14557307958602905,M0 + discharge_time_rel
5,test_id,0.011035299859941006,-0.0017393827438354492,M0 + discharge_time_rel
5,test_ood,0.007205557078123093,0.19732260704040527,M0 + discharge_time_rel
0,train,0.009568671695888042,0.06429868936538696,M0 + num_measurements_rel
0,validation,0.007298546377569437,-0.1684112548828125,M0 + num_measurements_rel
0,test_id,0.01674419641494751,-1.3062963485717773,M0 + num_measurements_rel
0,test_ood,0.00781869888305664,0.054906368255615234,M0 + num_measurements_rel
1,train,0.008666735142469406,0.23238229751586914,M0 + num_measurements_rel
1,validation,0.00642988970503211,0.09316128492355347,M0 + num_measurements_rel
1,test_id,0.011794889345765114,-0.14439046382904053,M0 + num_measurements_rel
1,test_ood,0.007571526803076267,0.1137162446975708,M0 + num_measurements_rel
2,train,0.008845585398375988,0.2003735899925232,M0 + num_measurements_rel
2,validation,0.006300406996160746,0.1293168067932129,M0 + num_measurements_rel
2,test_id,0.011154158040881157,-0.023434758186340332,M0 + num_measurements_rel
2,test_ood,0.00835749413818121,-0.07983648777008057,M0 + num_measurements_rel
3,train,0.008823013864457607,0.20444929599761963,M0 + num_measurements_rel
3,validation,0.006432552356272936,0.09241008758544922,M0 + num_measurements_rel
3,test_id,0.010943072848021984,0.0149344801902771,M0 + num_measurements_rel
3,test_ood,0.007554198149591684,0.11776834726333618,M0 + num_measurements_rel
4,train,0.009064608253538609,0.16028469800949097,M0 + num_measurements_rel
4,validation,0.006540871225297451,0.06158667802810669,M0 + num_measurements_rel
4,test_id,0.014035578817129135,-0.6204930543899536,M0 + num_measurements_rel
4,test_ood,0.010399424470961094,-0.6719545125961304,M0 + num_measurements_rel
5,train,0.008912604302167892,0.18821090459823608,M0 + num_measurements_rel
5,validation,0.006711489520967007,0.011991143226623535,M0 + num_measurements_rel
5,test_id,0.011278115212917328,-0.046308040618896484,M0 + num_measurements_rel
5,test_ood,0.008747323416173458,-0.18292236328125,M0 + num_measurements_rel
